"Participant","Experiment_StartDate","Experiment_Duration","Mobile","Gender","Age","SexualOrientation","Ethnicity","DemandCharcateristics_Condition","Fiction_Expectations","Feedback_BigDifferenceRealAI","Feedback_SmallDifferenceRealAI","Feedback_NoDifferenceRealAI","Feedback_LabelsNotCorrect","Feedback_LabelsReversed","Feedback_LabelsAllPhotos","Feedback_LabelsAllAI","Feedback_ConfidenceReal","Feedback_ConfidenceFake","Experiment_Enjoyment","Experiment_Quality","Experiment_Unusual","Experiment_PerceptionChange","Experiment_Feedback","BAIT_AI_Knowledge","BAIT_AI_Use","BAIT_5_ImitatingReality","BAIT_3_VideosIssues","BAIT_12_Benefit","BAIT_9_Dangerous","BAIT_11_Exciting","BAIT_2_ImagesIssues","BAIT_13_ArtIssues","BAIT_10_Worry","BAIT_6_EnvironmentReal","BAIT_8_TextIssues","BAIT_14_ArtRealistic","BAIT_AttentionCheck","BAIT_7_TextRealistic","BAIT_1_ImagesRealistic","BAIT_4_VideosRealistic","BAIT_2_ImagesIssues_rev","BAIT_3_VideosIssues_rev","BAIT_8_TextIssues_rev","BAIT_13_ArtIssues_rev","BAIT_9_Dangerous_rev","BAIT_10_Worry_rev","BAIT_Images","BAIT_Videos","BAIT_Text","BAIT_Art","BAIT_Attitude","BAIT_Reality","BAIT_total","MIST_fake_general_4","MIST_real_general_3","MIST_real_general_4","MIST_real_general_2","MIST_real_general_1","MIST_fake_general_2","MIST_fake_general_1","MIST_fake_general_3","MIST_totalcorrect","BRS_5","BRS_1","BRS_20","BRS_10","BRS_7","BRS_8","BRS_3","BRS_2","BRS_18","BRS_19","BRS_15","BRS_14","BRS_13","BRS_Attention","BRS_12","BRS_4","BRS_17","BRS_11","BRS_6","BRS_9","BRS_16","BRS_Total","Questionnaires_AttentionCheck","Task_AttentionCheck"
"S050","2025-09-30 09:22:27",25.4983,"false","Woman",20,"Heterosexual","Southeast Asian","More attractive","I have no expectations",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,2,"A few times per week",4,4,2,3,3,5,6,3,4,5,1,1,2,5,4,1,2,1,0,3,3,3,3,1.5,0.5,2.75,4,2.45833333333333,-76,-38,60,-73,-2,-31,47,32,3,2,3,4,3,2,4,2,2,2,4,5,5,4,1,3,2,2,4,2,1,3,2.95,1,0.555555555555556
"S313","2025-10-03 14:17:30",33.1803666666667,"false","Woman",24,"Heterosexual","White","Control",NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,2,NA,NA,NA,NA,2,"A few times per week",4,2,3,5,4,4,6,4,4,4,3,1,2,5,5,2,4,2,0,1,2,3.5,4.5,2,1.5,2.5,4,3,53,36,74,46,60,42,42,-56,5,1,1,3,2,1,2,1,1,3,2,1,4,4,1,2,1,1,4,1,1,2,1.9,1,0.333333333333333
"S262","2025-10-02 14:20:30",28.5814,"false","Woman",19,"Bisexual","White","Less attractive","I expect to find AI-generated faces less attractive",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,2,NA,NA,NA,NA,2,"A few times per month",5,1,0,5,3,0,6,6,3,3,0,1,4,6,6,6,5,3,0,1,0,6,5.5,3.5,0,1,4,3.33333333333333,-100,100,100,59,17,21,-10,29,6,1,1,2,1,1,1,1,1,3,2,2,3,3,1,1,1,3,1,1,1,1,1.55,1,0.888888888888889
"S035","2025-09-29 13:22:43",30.6154666666667,"false","Man",20,"Asexual","White","Control",NA,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,4,2,4,NA,NA,NA,NA,3,"A few times per week",3,5,2,6,3,5,6,5,5,5,0,1,2,5,3,1,1,1,0,0,1,3,2,1.5,0,1.5,4,2,-83,44,40,-21,-58,-88,61,-32,5,2,2,4,1,1,4,4,2,3,4,2,5,4,1,2,1,3,4,1,1,2,2.6,1,0.555555555555556
"S112","2025-09-30 18:02:59",40.2353333333333,"false","Woman",19,"Bisexual","White","Control",NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,2,"Never",2,3,1,6,0,3,6,6,5,6,0,1,1,5,6,3,3,0,0,0,0,4,4.5,0.5,0,0.25,3.5,2.125,-85,65,95,50,40,-75,-25,-90,8,1,1,4,1,2,1,1,1,2,2,4,4,5,1,2,1,3,3,1,1,2,2.1,1,1
"S214","2025-10-02 09:22:07",43.8211833333333,"false","Prefer not to say",19,"Bisexual","White","Less attractive","I have no expectations",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,"I felt like on the ""sexual orientation"" question, if one chooses ""bisexual"", it could be relevant to additionally ask them which gender they are more attracted to, and to which less, if there is a felt difference, to account for possible effects of preferences on the attractiveness ratings",3,"A few times per week",3,2,4,4,4,4,5,5,2,3,0,1,4,5,3,2,4,3,1,2,1,3.5,3.5,3.5,0.5,2.75,2.5,2.70833333333333,-50,40,40,1,25,-15,8,-40,7,1,2,4,1,2,1,1,2,2,3,5,1,3,1,3,1,3,1,2,1,1,2,1,1
"S136","2025-09-30 18:26:35",28.9213666666667,"false","Non-binary",20,"Bisexual","White","Less attractive","I expect to find AI-generated faces less attractive",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,1,"Never",4,4,0,6,1,4,6,6,3,4,0,1,4,6,5,2,2,2,0,0,0,4,3.5,3,0,0.25,3.5,2.375,-100,100,100,100,-100,55,-100,46,5,3,5,4,1,1,5,4,3,5,1,2,3,2,1,1,4,5,4,3,1,3,3,1,1
"S015","2025-09-29 13:19:28",23.3880166666667,"false","Woman",21,"Bisexual","White","Control",NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,0,"A few times per week",5,2,3,6,5,4,1,6,4,3,6,1,6,5,5,2,4,3,5,0,0,3.5,4.5,4.5,5.5,2,4.5,4.08333333333333,-95,48,48,0,-37,96,59,-95,4,2,5,5,4,2,4,4,4,4,5,5,5,5,1,4,2,1,4,5,2,4,3.8,1,0.555555555555556
"S299","2025-10-03 11:19:48",17.0750166666667,"false","Man",19,"Heterosexual","White","Control",NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,"The closest living relatives to birds are crocodiles ",5,"A few times per week",2,5,2,5,4,5,6,5,1,5,2,1,2,4,3,1,1,1,0,1,1,2.5,2,1.5,1,2,1.5,1.75,-100,100,100,100,100,-61,-52,-100,8,1,1,5,1,1,1,1,1,5,5,5,5,5,1,5,1,3,5,1,1,4,2.85,1,0.444444444444444
"S235","2025-10-02 14:16:54",29.95365,"false","Man",22,"Heterosexual","White","Less attractive","I expect to find AI-generated faces more attractive",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,3,"A few times per month",2,3,3,1,5,3,6,2,4,2,0,1,4,5,3,3,3,4,0,5,4,4,3,4,0,4.25,3,3.04166666666667,-100,61,100,5,11,31,31,-70,6,1,3,3,2,1,4,1,2,5,4,2,3,3,1,2,4,4,4,1,1,1,2.55,1,0.555555555555556
"S177","2025-10-01 11:22:14",21.132,"false","Man",20,"Heterosexual","White","More attractive","I have no expectations",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,4,NA,3,NA,NA,NA,NA,4,"A few times per day",1,4,6,5,6,6,6,4,4,4,3,1,0,3,4,0,2,2,0,1,2,1.5,3,1,1.5,3.75,2.5,2.20833333333333,-98,43,86,65,98,-98,-98,-98,8,2,3,3,3,2,2,2,2,4,5,3,5,5,1,5,1,1,4,1,1,4,2.9,1,0.888888888888889
"S153","2025-10-01 11:19:35",31.19025,"false","Man",31,"Heterosexual","White","Self Expectations","I expect to find AI-generated faces similarly attractive",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,2,"A few times per month",5,3,4,4,6,0,6,6,5,4,0,1,3,6,3,6,3,2,0,2,0,6,3,2.5,0,3,5,3.25,-92,49,49,-51,-83,81,-39,-35,5,3,2,4,1,1,4,3,1,5,5,4,5,5,1,4,1,3,3,3,3,5,3.25,1,0.777777777777778
"S291","2025-10-03 11:18:59",24.2923833333333,"false","Woman",20,"Heterosexual","White","Self Expectations","I have no expectations",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,2,NA,NA,NA,NA,2,"A few times per month",2,4,3,5,4,2,6,4,4,5,0,0,1,6,6,4,2,1,0,1,2,5,4,1,0,2.5,3,2.58333333333333,-100,98,98,100,-100,-17,-48,-100,7,1,1,2,1,2,1,1,1,2,2,4,4,3,1,4,2,1,2,1,1,1,1.85,0.5,0.888888888888889
"S330","2025-10-03 14:19:35",22.495,"false","Woman",19,"Bisexual","White","More attractive","I expect to find AI-generated faces similarly attractive",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,NA,3,NA,NA,NA,NA,1,"A few times per week",4,4,3,5,4,2,4,4,4,5,3,1,4,3,3,4,2,1,2,1,2,3.5,2.5,2.5,2.5,2.5,4,2.91666666666667,22,-12,26,36,26,20,8,-11,4,2,3,5,2,3,3,1,1,5,4,1,5,4,1,2,2,3,4,3,1,2,2.8,1,1
"S041","2025-09-29 13:24:36",22.0957833333333,"false","Woman",19,"Heterosexual","White","Self Expectations","I expect to find AI-generated faces more attractive",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,3,"A few times per month",4,2,4,5,5,4,3,4,5,4,3,1,2,5,5,2,4,2,3,1,2,3.5,4.5,2,3,3,4.5,3.41666666666667,-16,-58,58,43,70,-80,38,-10,6,5,2,4,2,2,2,1,2,3,4,3,5,5,1,3,2,2,5,2,2,4,3,1,0.777777777777778
"S141","2025-10-01 11:19:03",21.5593,"false","Man",19,"Heterosexual","Southeast Asian","Less attractive","I expect to find AI-generated faces less attractive",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,4,"Once a day",1,4,4,2,6,2,6,3,3,5,0,1,3,4,2,4,2,1,0,4,3,4,2,2,0,4.25,2,2.375,-100,-100,100,100,-100,-100,100,100,4,1,2,3,3,1,5,2,2,3,5,2,4,4,1,4,1,4,4,3,1,2,2.8,1,0.666666666666667
"S102","2025-09-30 16:17:10",20.36215,"false","Woman",20,"Homosexual","White","Less attractive","I expect to find AI-generated faces less attractive",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,NA,3,NA,NA,NA,NA,4,"A few times per month",3,5,4,5,3,5,5,4,4,4,3,1,2,3,2,1,1,2,1,1,2,2,1.5,2,2,2.5,3.5,2.25,-53,44,60,-38,50,64,-43,64,5,1,3,2,2,3,3,1,1,4,4,4,4,1,0,3,1,1,1,3,3,3,2.4,0.5,0.666666666666667
"S155","2025-10-01 11:19:42",18.9320833333333,"false","Woman",19,"Bisexual","White","Self Expectations","I expect to find AI-generated faces less attractive",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,0,"A few times per month",2,3,1,6,5,4,6,5,5,6,0,0,3,2,4,2,3,0,0,0,1,2,3.5,1.5,0,1.75,3.5,2.04166666666667,-22,-100,-55,100,89,-90,65,16,4,3,4,1,2,1,4,5,2,5,3,5,4,1,0,4,3,2,1,1,1,1,2.65,0,1
"S166","2025-10-01 11:20:22",19.39405,"false","Woman",19,"Bisexual","White","Control",NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,3,"Never",1,5,0,6,1,4,6,6,2,5,0,1,0,3,4,2,1,1,0,0,0,2.5,2.5,0.5,0,0.25,1.5,1.20833333333333,-32,-25,-33,38,44,-27,75,75,4,2,4,5,4,2,4,1,2,4,3,3,3,5,1,3,2,4,3,2,1,2,2.95,1,0.888888888888889
"S312","2025-10-03 14:17:28",33.4475166666667,"false","Woman",20,"Bisexual","Black","Control",NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,2,"Never",2,2,0,6,0,4,6,6,3,5,0,1,0,4,2,2,4,1,0,0,0,3,3,0.5,0,0,2.5,1.5,-100,25,-30,80,0,-45,5,-49,5,2,3,3,4,1,3,3,2,5,4,4,4,4,1,5,1,2,2,1,2,1,2.8,1,0.666666666666667
"S005","2025-09-29 13:19:03",22.4733166666667,"false","Woman",30,"Bisexual","White","Less attractive","I have no expectations",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,4,4,NA,NA,NA,NA,3,"Never",5,5,0,6,0,4,5,6,5,5,0,1,4,3,2,2,1,1,1,0,0,2.5,1.5,2.5,0.5,0,5,2,-100,79,43,100,68,-100,-100,-100,8,3,4,4,2,3,3,3,2,4,4,3,4,3,1,4,4,3,4,2,2,3,3.2,1,0.888888888888889
"S109","2025-09-30 16:24:35",31.2199666666667,"false","Woman",20,"Heterosexual","White","More attractive","I expect to find AI-generated faces similarly attractive",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,NA,1,NA,NA,NA,NA,4,"A few times per month",4,1,2,2,4,2,5,6,5,4,0,1,3,5,4,4,5,2,1,4,0,4.5,4.5,2.5,0.5,2.5,4.5,3.16666666666667,6,-55,35,-10,23,15,100,6,2,1,1,4,1,1,1,2,1,3,1,3,3,2,1,2,4,2,1,1,1,3,1.9,1,0.666666666666667
"S052","2025-09-30 09:23:08",20.3197833333333,"false","Woman",19,"Heterosexual","Mixed","More attractive","I expect to find AI-generated faces more attractive",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4,NA,4,NA,NA,NA,NA,2,"A few times per week",6,4,3,6,4,4,6,6,4,5,5,1,4,6,6,2,2,1,0,0,0,4,4,2.5,2.5,1.75,5,3.29166666666667,-97,28,73,-98,-39,-71,29,-35,5,2,3,5,3,2,4,2,3,4,5,3,5,4,1,5,4,4,2,2,2,4,3.4,1,1
"S011","2025-09-29 13:19:15",20.8592166666667,"false","Woman",19,"Bisexual","White","More attractive","I expect to find AI-generated faces more attractive",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,2,"A few times per month",3,5,3,4,3,2,4,5,6,4,3,0,5,6,6,4,1,2,2,2,1,5,3.5,3.5,2.5,2.25,4.5,3.54166666666667,-97,56,24,-48,-44,-26,38,-84,5,1,4,5,4,3,5,3,2,4,5,4,5,5,1,4,3,4,5,4,3,3,3.8,0.5,0.777777777777778
"S006","2025-09-29 13:19:05",22.32175,"false","Woman",20,"Heterosexual","White","More attractive","I expect to find AI-generated faces less attractive",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3,NA,3,NA,NA,NA,NA,1,"A few times per month",5,5,3,6,3,2,5,6,4,6,1,1,2,5,1,4,1,0,1,0,0,4.5,1,1,1,1.5,4.5,2.25,-100,26,38,42,-53,-53,18,-64,6,2,4,5,4,4,4,3,3,5,5,5,5,4,1,5,2,1,4,4,4,4,3.85,1,0.555555555555556
"S286","2025-10-03 11:18:17",22.7120166666667,"false","Woman",21,"Bisexual","White","Less attractive","I expect to find AI-generated faces more attractive",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,1,NA,NA,NA,"boring and repetitive.",5,"A few times per week",6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,0,0,0,0,0,0,3,3,3,3,3,6,3.5,-23,-28,-27,-19,-24,-14,-31,38,3,5,5,5,1,1,1,5,5,1,1,5,5,3,0,5,3,3,4,5,5,1,3.45,0.5,0.888888888888889
"S180","2025-10-01 11:32:53",24.8600333333333,"false","Woman",19,"Bisexual","Mixed","More attractive","I have no expectations",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3,NA,2,NA,NA,NA,NA,3,"A few times per day",1,5,1,5,1,2,6,4,6,3,0,1,1,4,5,4,1,3,0,1,2,4,3,2,0,1.25,3.5,2.29166666666667,0,41,8,0,8,-21,-1,0,7,3,4,4,4,4,3,3,3,3,4,5,3,4,1,2,2,3,4,3,3,3,3.35,1,0.777777777777778
"S254","2025-10-02 14:18:41",25.5306666666667,"false","Woman",20,"Bisexual","White","Self Expectations","I expect to find AI-generated faces similarly attractive",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,3,4,NA,NA,NA,NA,2,"A few times per week",3,4,4,5,4,3,5,6,4,3,3,1,3,5,4,3,2,3,1,1,0,4,3,3,2,2.25,3.5,2.95833333333333,12,-71,-49,60,-40,-22,58,-39,3,1,1,5,2,2,2,1,1,4,4,4,5,3,1,1,1,1,4,1,1,4,2.4,1,1
"S144","2025-10-01 11:19:13",30.638,"false","Woman",18,"Heterosexual","Middle Eastern/North African","Less attractive","I have no expectations",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,2,NA,NA,NA,NA,3,"A few times per week",5,5,2,4,2,3,6,3,4,4,0,1,5,4,3,3,1,2,0,2,3,3.5,2,3.5,0,2.25,4.5,2.625,60,-22,-12,-75,9,-70,39,39,2,1,4,4,1,2,2,2,1,3,4,3,3,4,1,2,2,4,4,2,1,1,2.5,1,0.777777777777778
"S224","2025-10-02 14:14:05",24.8363666666667,"false","Man",19,"Heterosexual","White","Control",NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,2,"A few times per month",5,3,4,3,5,2,5,1,5,4,4,1,4,5,5,4,3,2,1,3,5,4.5,4,3,2.5,4.25,5,3.875,-64,15,76,62,57,58,-29,-17,7,1,2,4,2,2,3,2,1,4,5,4,5,5,1,4,1,2,4,2,2,3,2.9,1,0.888888888888889
"S045","2025-09-29 13:27:24",28.9169166666667,"false","Woman",20,"Heterosexual","Black","Control",NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,2,"A few times per month",2,3,1,5,1,3,5,6,3,3,2,1,3,5,3,3,3,3,1,1,0,4,3,3,1.5,0.75,2.5,2.45833333333333,-28,43,25,40,-47,-57,25,-31,6,2,1,4,2,2,2,1,2,5,5,3,5,4,1,4,2,3,3,2,1,4,2.85,1,0.777777777777778
"S186","2025-10-02 09:11:27",36.0434166666667,"false","Man",20,"Homosexual","White","More attractive","I expect to find AI-generated faces less attractive",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,"The study was enjoyable and entertaining. ",2,"Never",6,5,3,6,2,3,6,6,4,6,0,1,5,3,4,3,1,0,0,0,0,3,2.5,2.5,0,1.25,5,2.375,-100,25,60,25,-70,0,-25,-100,7,2,3,1,3,4,2,3,4,3,2,1,1,1,1,1,1,1,1,3,5,1,2.15,1,0.777777777777778
"S268","2025-10-02 14:25:48",23.7724666666667,"false","Woman",19,"Heterosexual","White","More attractive","I expect to find AI-generated faces similarly attractive",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,1,NA,NA,NA,NA,2,"A few times per month",4,5,2,6,2,5,6,5,4,5,3,1,2,5,3,1,1,1,0,0,1,3,2,1.5,1.5,1.25,4,2.20833333333333,-90,57,16,72,4,-69,-6,-81,8,3,4,3,4,3,4,3,4,2,4,4,5,4,0,4,3,5,5,3,3,4,3.7,0.5,0.777777777777778
"S048","2025-09-30 09:18:53",42.4866333333333,"false","Woman",42,"Heterosexual","White","Self Expectations","I have no expectations",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,2,"A few times per week",3,3,2,5,2,3,3,5,5,5,3,1,2,4,3,3,3,1,3,1,1,3.5,3,1.5,3,1.5,4,2.75,-100,37,100,100,100,-100,-100,-100,8,3,4,4,4,3,5,4,3,5,4,4,5,5,1,4,1,1,4,4,4,3,3.7,1,0.888888888888889
"S200","2025-10-02 09:19:27",25.6875666666667,"false","Woman",33,"Bisexual","White","Control",NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,1,"A few times per month",5,1,0,5,0,3,6,6,2,5,0,1,0,5,3,3,5,1,0,1,0,4,4,0.5,0,0.25,3.5,2.04166666666667,-34,63,30,21,12,-8,6,-91,7,3,2,4,2,3,4,3,2,5,5,4,5,5,1,4,2,5,5,2,2,4,3.55,1,0.777777777777778
"S060","2025-09-30 09:24:49",32.9148,"false","Woman",21,"Bisexual","White","Less attractive","I have no expectations",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,2,NA,NA,NA,NA,3,"A few times per month",5,4,2,4,3,0,5,6,2,5,0,0,2,5,6,6,2,1,1,2,0,5.5,4,1.5,0.5,1.75,3.5,2.79166666666667,-32,-31,60,31,43,47,-50,36,5,1,2,4,2,2,2,2,1,3,2,2,3,4,0,2,3,3,3,1,1,4,2.35,0,1
"S196","2025-10-02 09:19:16",20.9228666666667,"false","Woman",20,"Heterosexual","White","Self Expectations","I expect to find AI-generated faces similarly attractive",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,4,NA,NA,NA,NA,3,"A few times per month",4,3,2,6,2,3,3,6,5,3,1,1,5,5,5,3,3,3,3,0,0,4,4,4,2,1,4.5,3.25,-28,9,37,-19,41,-18,44,37,5,3,4,3,4,3,4,2,4,2,5,4,3,3,1,4,1,1,3,3,4,3,3.15,1,0.666666666666667
"S143","2025-10-01 11:19:12",25.5445,"false","Woman",19,"Heterosexual","White","Control",NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,0,NA,NA,NA,NA,2,"A few times per month",1,3,3,6,1,2,6,6,2,4,2,1,5,4,5,4,3,2,0,0,0,4,4,3.5,1,1,1.5,2.5,-80,75,20,31,-19,40,-77,-71,6,3,4,1,4,4,3,5,2,2,3,3,3,4,1,5,2,1,3,5,2,3,3.1,1,0.666666666666667
"S018","2025-09-29 13:19:30",36.3649833333333,"false","Woman",19,"Heterosexual","White","Self Expectations","I expect to find AI-generated faces similarly attractive",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,NA,3,NA,NA,NA,NA,1,"A few times per week",1,5,4,4,3,1,6,4,3,3,1,1,5,6,4,5,1,3,0,2,2,5.5,2.5,4,0.5,2.75,2,2.875,-47,28,-21,-9,27,10,27,-70,4,2,1,5,2,2,4,1,1,1,4,4,4,3,1,3,4,2,3,3,3,4,2.8,1,0.888888888888889
"S198","2025-10-02 09:19:20",23.3706666666667,"false","Woman",21,"Heterosexual","White","Less attractive","I expect to find AI-generated faces more attractive",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2,NA,3,NA,NA,NA,NA,2,"A few times per month",4,3,2,4,3,2,6,5,4,5,5,1,1,3,2,4,3,1,0,2,1,3.5,2.5,1,2.5,2,4,2.58333333333333,-62,35,29,32,-51,-80,28,-82,6,1,3,5,3,3,3,4,1,4,4,4,5,4,1,4,1,2,2,2,1,4,3,1,0.666666666666667
"S294","2025-10-03 11:19:16",32.5642833333333,"false","Woman",19,"Heterosexual","White","More attractive","I expect to find AI-generated faces more attractive",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3,NA,1,NA,NA,NA,NA,2,"A few times per day",6,2,2,5,2,2,6,5,6,5,5,1,4,6,6,4,4,1,0,1,1,5,5,2.5,2.5,1.5,6,3.75,-73,-80,87,100,82,36,-86,-100,6,5,2,4,5,3,3,1,2,2,5,4,5,5,1,5,2,3,4,2,4,5,3.55,1,0.666666666666667
"S237","2025-10-02 14:17:05",22.6423666666667,"false","Woman",18,"Prefer not to say","White","More attractive","I expect to find AI-generated faces less attractive",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,3,"A few times per week",4,2,1,5,4,4,2,6,3,4,6,1,3,2,4,2,4,2,4,1,0,2,4,2.5,5,1.5,3.5,3.08333333333333,-53,54,52,-40,-50,40,-35,59,4,2,2,3,3,2,3,2,1,2,4,4,4,3,1,3,2,2,3,1,1,2,2.45,1,1
"S062","2025-09-30 09:25:26",29.6090666666667,"false","Woman",19,"Prefer not to say","Mixed","Self Expectations","I have no expectations",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,2,NA,NA,NA,NA,2,"A few times per month",0,5,3,4,2,2,6,6,2,3,0,1,4,4,2,4,1,3,0,2,0,4,1.5,3.5,0,1.75,1,1.95833333333333,-15,82,93,44,23,-29,59,-29,7,2,1,5,2,2,3,1,2,5,5,5,4,5,1,2,2,4,5,1,1,4,3.05,1,0.888888888888889
"S054","2025-09-30 09:23:29",35.2835666666667,"false","Woman",19,"Pansexual","White","Control",NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,3,"A few times per month",3,4,0,4,1,3,6,6,1,5,0,1,2,2,2,3,2,1,0,2,0,2.5,2,1.5,0,0.75,2,1.45833333333333,-30,70,75,10,20,-60,-1,-35,8,2,4,4,5,3,3,3,3,3,3,3,4,4,1,3,3,2,4,2,3,2,3.15,1,1
"S093","2025-09-30 16:15:13",20.3831166666667,"false","Woman",21,"Heterosexual","White","Less attractive","I have no expectations",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,0,"A few times per month",2,3,3,4,1,3,6,4,4,5,2,1,2,4,3,3,3,1,0,2,2,3.5,3,1.5,1,2,3,2.33333333333333,-25,8,36,20,-40,-12,37,18,5,3,4,4,3,3,5,3,4,4,3,3,2,4,1,4,4,4,2,4,3,4,3.5,1,0.888888888888889
"S246","2025-10-02 14:17:34",24.9302333333333,"false","Woman",20,"Bisexual","White","Control",NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,1,NA,NA,NA,NA,3,"Never",2,1,0,6,1,2,5,4,3,4,0,0,2,2,6,4,5,2,1,0,2,3,5.5,2,0.5,0.75,2.5,2.375,-39,-1,4,0,-7,-32,9,-92,4,2,2,1,1,1,2,1,2,4,2,4,4,3,1,3,1,1,2,1,1,2,2,0.5,0.555555555555556
"S302","2025-10-03 11:22:21",22.0474,"false","Woman",21,"Bisexual","Black","More attractive","I expect to find AI-generated faces less attractive",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,2,"A few times per day",4,5,1,5,3,1,6,6,6,6,1,1,2,4,5,5,1,0,0,1,0,4.5,3,1,0.5,1.25,5,2.54166666666667,100,47,-76,63,-88,29,100,70,2,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5,5,5,5,5,5,4.8,1,0.777777777777778
"S101","2025-09-30 16:16:15",20.14245,"false","Woman",20,"Heterosexual","White","Less attractive","I expect to find AI-generated faces less attractive",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,3,NA,NA,NA,NA,3,"A few times per month",3,4,1,5,3,4,6,6,4,4,1,1,2,5,3,2,2,2,0,1,0,3.5,2.5,2,0.5,1.25,3.5,2.20833333333333,-24,-43,61,24,-71,-53,55,28,4,5,4,5,4,5,5,4,4,4,4,5,5,4,1,4,2,2,5,4,3,5,4.15,1,0.666666666666667
